"","address1","lon","lat"
"422","1506 SAINT NICHOLAS AVE 10033",-73.931464,40.8518873
"423","13545 ROOSEVELT AVENUE 11354",-73.8304784,40.7596074
"424","5406 FLUSHING AVENUE 11378",-73.9131236,40.7148688
"425","4345 MAIN ST 11355",-73.825705,40.751514
"426","511 LEXINGTON AVENUE 10017",-73.9731814,40.7548069
"427","3413 BROADWAY 11106",-73.9223892,40.7607259
"428","338 EAST    6 STREET 10003",-73.9868598,40.7265199
"429","130 CHURCH STREET 10007",-74.0089184,40.7140849
"430","3401 30 AVENUE 11103",-73.9186823,40.765913
"431","3558 97TH ST 11368",-73.8702109,40.7519563
"432","217 E TREMONT AVE 10457",-73.905015,40.849294
"433","1122 EASTERN PARKWAY 11213",-73.9313617,40.6684176
"434","2525 PARSONS BOULEVARD 11354",-73.82441,40.7760915
"435","6310 BROADWAY 11377",-73.8988497,40.749628
"436","2319 AVENUE U 11229",-73.947866,40.600006
"437","1045 FLUSHING AVE 11237",-73.9304942,40.7042075
"438","431 RALPH AVENUE 11233",-73.921791,40.674391
"439","941A WESTCHESTER AVE 10459",-73.8968333,40.8221452
"440","365 VAN BRUNT STREET 11231",-74.013554,40.6766163
"441","13115 JAMAICA AVE 11418",-73.820628,40.702326
"442","605 W 42ND ST 10036",-73.9984181,40.76105
"443","554 WEST  181 STREET 10033",-73.9329869,40.8487513
"444","74 W 47TH ST 10036",-73.9815386,40.7577114
"445","19409 NORTHERN BOULEVARD 11358",-73.7871903,40.7579166
"446","2220 86 STREET 11214",-73.9934327,40.6014129
"447","1593 2 AVENUE 10028",-73.953644,40.7758301
"448","631 WILSON AVE 11207",-73.906008,40.689767
"449","14605 JAMAICA AVENUE 11435",-73.8087037,40.7019963
"450","770 59TH ST 11220",-74.0095802,40.6361452
